gen	nevals	life_avg	avg     	std      	min     	max    
0  	100   	0       	0.678956	15.5246  	-6.17587	66.1623
1  	132   	0.212121	12.5295 	23.8036  	-5.71373	66.1623
2  	138   	0       	21.0402 	24.1148  	-5.273  	66.1623
3  	138   	0       	38.2797 	22.7912  	-5.24702	66.1623
4  	136   	0       	54.6909 	12.5517  	3.75298 	66.1859
5  	144   	0       	60.8856 	7.1929   	21.753  	66.1623
6  	139   	0       	63.447  	8.03778  	3.23795 	75.1623
7  	136   	0       	66.181  	3.31829  	57.1623 	75.1623
8  	132   	0       	66.0829 	9.7757   	-5.273  	75.1623
9  	135   	0       	66.8046 	14.2448  	-5.83773	75.2131
10 	136   	0       	72.1957 	4.41763  	57.1623 	75.2131
11 	130   	0       	74.4608 	2.71897  	57.7321 	75.6018
12 	147   	0       	74.8302 	2.82867  	48.1623 	75.6018
13 	145   	0       	75.2351 	0.160418 	75.1623 	75.6018
14 	138   	0       	75.1614 	1.76453  	57.7321 	75.6018
15 	144   	0       	75.3937 	0.947383 	66.1623 	75.6018
16 	131   	0       	75.5974 	0.0437364	75.1623 	75.6018
17 	142   	0       	75.6018 	0        	75.6018 	75.6018
18 	146   	0       	75.6018 	0        	75.6018 	75.6018
19 	122   	0       	75.6018 	0        	75.6018 	75.6018
20 	132   	0       	75.6018 	0        	75.6018 	75.6018
21 	144   	0       	75.5974 	0.0437364	75.1623 	75.6018
22 	134   	0.268657	75.7491 	2.60559  	57.6018 	86.5117
23 	134   	0.38806 	75.82   	1.52739  	75.6018 	86.5117
24 	146   	0.232877	76.0382 	2.13789  	75.6018 	86.5117
25 	157   	0.11465 	76.0489 	2.57649  	66.1949 	86.5117
26 	147   	0.231293	76.7079 	3.57134  	66.1949 	86.5117
27 	140   	0.871429	77.7956 	4.38902  	75.6018 	87.6896
28 	138   	1.68116 	80.0985 	5.39655  	75.6018 	87.6896
29 	139   	2.44604 	81.7349 	5.43887  	75.6018 	87.6896
30 	133   	5.09774 	84.833  	4.03864  	75.6018 	87.6896
31 	142   	10.0563 	86.0318 	2.66828  	75.6018 	87.6896
32 	150   	11.84   	86.6085 	2.01515  	75.6018 	87.6896
33 	152   	14.3289 	87.2698 	1.31908  	75.1623 	87.6896
34 	137   	20.9635 	87.6327 	0.257965 	86.5117 	87.8929
35 	134   	21.3284 	87.6936 	0.0284643	87.6896 	87.8929
36 	150   	22.7867 	87.2445 	3.27927  	57.1623 	87.8929
37 	131   	22.229  	87.5948 	1.25162  	75.1623 	87.8929
38 	145   	24.3586 	87.7587 	0.0963129	87.6896 	87.8929
39 	141   	21.2908 	86.3618 	9.9845   	-5.83773	87.8929
40 	146   	20.1233 	87.8766 	0.0551585	87.6896 	87.8929
41 	139   	24.3022 	87.8929 	0        	87.8929 	87.8929
42 	140   	24.1571 	87.7656 	1.26668  	75.1623 	87.8929
43 	135   	24.2667 	87.6383 	1.78229  	75.1623 	87.8929
44 	144   	26.9583 	87.8929 	0        	87.8929 	87.8929
45 	141   	27.5887 	87.8929 	0        	87.8929 	87.8929
46 	145   	23.6    	87.7656 	1.26668  	75.1623 	87.8929
47 	125   	21.568  	87.7656 	1.26668  	75.1623 	87.8929
48 	137   	22.8175 	87.8929 	0        	87.8929 	87.8929
49 	141   	24.3546 	87.7656 	1.26668  	75.1623 	87.8929
50 	138   	21.6232 	87.8929 	0        	87.8929 	87.8929
51 	138   	24.4928 	87.7656 	1.26668  	75.1623 	87.8929
52 	137   	24.6861 	87.8929 	0        	87.8929 	87.8929
53 	147   	23.3061 	87.8929 	0        	87.8929 	87.8929
54 	136   	24.0735 	87.8929 	0        	87.8929 	87.8929
55 	143   	26.7413 	87.8929 	0        	87.8929 	87.8929
56 	150   	26.12   	87.8929 	0        	87.8929 	87.8929
57 	129   	23.0233 	87.8929 	0        	87.8929 	87.8929
58 	142   	26.1549 	87.8929 	0        	87.8929 	87.8929
59 	149   	25.4094 	86.9556 	9.32608  	-5.83773	87.8929
60 	137   	24.3942 	87.8929 	0        	87.8929 	87.8929
61 	119   	25.6807 	87.8929 	0        	87.8929 	87.8929
62 	142   	24.6479 	87.8929 	0        	87.8929 	87.8929
63 	147   	27.1565 	87.8929 	0        	87.8929 	87.8929
64 	130   	27.1385 	87.8929 	0        	87.8929 	87.8929
65 	139   	25.9568 	87.8929 	0        	87.8929 	87.8929
66 	143   	25.6643 	87.77   	1.22294  	75.6018 	87.8929
67 	137   	25.2555 	87.77   	1.22294  	75.6018 	87.8929
68 	136   	24.8824 	87.8929 	0        	87.8929 	87.8929
69 	136   	28.4265 	87.4056 	4.84864  	39.1623 	87.8929
70 	142   	25.4648 	87.8929 	0        	87.8929 	87.8929
71 	142   	24.3803 	87.6736 	2.16206  	66.1623 	87.8929
72 	138   	25.7536 	87.7656 	1.26668  	75.1623 	87.8929
73 	144   	27.9722 	87.8929 	0        	87.8929 	87.8929
74 	136   	27.4706 	87.8929 	0        	87.8929 	87.8929
75 	145   	27.0483 	87.8929 	0        	87.8929 	87.8929
76 	145   	24.3172 	87.8929 	0        	87.8929 	87.8929
77 	142   	27.5775 	87.8929 	0        	87.8929 	87.8929
78 	137   	24.0584 	87.7656 	1.26668  	75.1623 	87.8929
79 	136   	24.8382 	87.8929 	0        	87.8929 	87.8929
80 	138   	26.6087 	87.5856 	3.05766  	57.1623 	87.8929
81 	140   	25.4286 	87.8929 	0        	87.8929 	87.8929
82 	136   	25.3824 	87.8929 	0        	87.8929 	87.8929
83 	132   	24.8788 	87.7656 	1.26668  	75.1623 	87.8929
84 	144   	25.8194 	87.511  	2.17168  	75.1623 	87.8929
85 	134   	27.3731 	87.8929 	0        	87.8929 	87.8929
86 	133   	26.5113 	87.8929 	0        	87.8929 	87.8929
87 	130   	25.5538 	87.5856 	3.05766  	57.1623 	87.8929
88 	148   	23.3514 	87.6756 	2.16217  	66.1623 	87.8929
89 	137   	28.146  	87.8929 	0        	87.8929 	87.8929
90 	139   	24.8058 	87.8929 	0        	87.8929 	87.8929
91 	133   	25.1278 	87.8929 	0        	87.8929 	87.8929
92 	140   	23.8    	87.8929 	0        	87.8929 	87.8929
93 	137   	25.7518 	87.8929 	0        	87.8929 	87.8929
94 	145   	23.8345 	87.7656 	1.26668  	75.1623 	87.8929
95 	142   	26.1549 	87.8929 	0        	87.8929 	87.8929
96 	141   	28.0426 	87.8929 	0        	87.8929 	87.8929
97 	130   	27.6769 	87.8929 	0        	87.8929 	87.8929
98 	144   	26.2361 	87.8929 	0        	87.8929 	87.8929
99 	149   	26.8993 	87.8929 	0        	87.8929 	87.8929
100	137   	25.2847 	87.7656 	1.26668  	75.1623 	87.8929
n_hidden_neurons = 10
domain_upper = 1
domain_lower = -1
n_pop = 100
n_gens = 100
mutation_p = 0.2
cross_p = 0.5
Mu = 100
Lambda = 200
Algorithm = Mu + Lambda
