gen	nevals	life_avg	avg    	std        	min     	max    
0  	100   	5.06    	10.8169	32.1167    	-6.30776	91.7724
1  	147   	4.21769 	33.3428	40.5744    	-5.84932	91.847 
2  	147   	12.4354 	66.5288	34.3476    	-5.78383	91.847 
3  	145   	23.9448 	86.6112	15.6973    	-5.78383	92.4941
4  	131   	42.7634 	91.4353	1.30195    	85.6239 	92.5724
5  	145   	45.6    	91.2494	6.15429    	30.2039 	92.5724
6  	141   	53.8582 	91.4228	6.15927    	30.2039 	92.5724
7  	142   	46.2535 	91.6886	5.28017    	39.2162 	92.5724
8  	139   	52.1439 	92.3206	0.240931   	91.7724 	92.5724
9  	133   	52.1053 	92.105 	3.51062    	57.2223 	92.5724
10 	138   	54.7246 	92.0798	4.41049    	48.2223 	92.5724
11 	145   	62.7586 	92.5549	0.114625   	91.737  	92.5724
12 	142   	70.6479 	92.5724	2.84217e-14	92.5724 	92.5724
13 	141   	66.2411 	92.5724	2.84217e-14	92.5724 	92.5724
14 	143   	65.1608 	92.5644	0.079599   	91.7724 	92.5724
15 	136   	69.2206 	92.5724	2.84217e-14	92.5724 	92.5724
16 	141   	70.4965 	92.5644	0.079599   	91.7724 	92.5724
17 	142   	67.3803 	92.5644	0.079599   	91.7724 	92.5724
18 	143   	69.958  	92.5724	2.84217e-14	92.5724 	92.5724
19 	144   	70.7083 	92.5564	0.112      	91.7724 	92.5724
20 	138   	70.7391 	92.5724	2.84217e-14	92.5724 	92.5724
21 	145   	70.869  	92.5724	2.84217e-14	92.5724 	92.5724
22 	128   	67.0312 	92.5724	2.84217e-14	92.5724 	92.5724
23 	129   	70.8062 	92.5724	2.84217e-14	92.5724 	92.5724
24 	139   	64.4892 	92.5724	2.84217e-14	92.5724 	92.5724
25 	144   	73.2222 	92.5724	2.84217e-14	92.5724 	92.5724
26 	131   	74      	92.5724	2.84217e-14	92.5724 	92.5724
27 	134   	68.2985 	92.3987	1.72814    	75.2039 	92.5724
28 	141   	67.6312 	92.5724	2.84217e-14	92.5724 	92.5724
29 	144   	73.8056 	92.5724	2.84217e-14	92.5724 	92.5724
30 	149   	72.9664 	92.5724	2.84217e-14	92.5724 	92.5724
31 	137   	67.0657 	92.5724	2.84217e-14	92.5724 	92.5724
32 	145   	67.1172 	92.5591	0.0947848  	91.7724 	92.5724
33 	147   	66.7619 	92.5724	2.84217e-14	92.5724 	92.5724
34 	137   	65.9124 	92.5724	2.84217e-14	92.5724 	92.5724
35 	129   	70.3411 	92.5724	2.84217e-14	92.5724 	92.5724
36 	140   	68.0714 	92.572 	0.00351622 	92.537  	92.5724
37 	140   	68.8286 	92.572 	0.00351622 	92.537  	92.5724
38 	141   	65.6879 	92.5724	2.84217e-14	92.5724 	92.5724
39 	139   	70.9928 	92.572 	0.00351622 	92.537  	92.5724
40 	137   	71.6788 	92.5724	2.84217e-14	92.5724 	92.5724
41 	150   	71.9333 	92.5724	2.84217e-14	92.5724 	92.5724
42 	145   	67.8621 	92.5724	2.84217e-14	92.5724 	92.5724
43 	137   	69.6058 	92.5724	2.84217e-14	92.5724 	92.5724
44 	135   	70.0593 	92.5704	0.0198997  	92.3724 	92.5724
45 	150   	70.1333 	92.5724	2.84217e-14	92.5724 	92.5724
46 	145   	69.5034 	92.5724	2.84217e-14	92.5724 	92.5724
47 	154   	69.974  	92.5666	0.0808335  	91.7724 	92.647 
48 	148   	67.9459 	92.5761	0.0162721  	92.5724 	92.647 
49 	141   	64.6241 	92.5754	0.0146306  	92.5724 	92.647 
50 	138   	67.6087 	92.5773	0.0194666  	92.537  	92.647 
51 	151   	65.2583 	92.5825	0.026285   	92.537  	92.647 
52 	143   	64.3217 	92.5853	0.0887354  	91.7724 	92.647 
53 	134   	63.8358 	92.6045	0.0769168  	91.937  	92.647 
54 	136   	62.3235 	92.6303	0.0317818  	92.537  	92.647 
55 	144   	61.9861 	92.6418	0.0190497  	92.5724 	92.647 
56 	140   	68.1857 	92.6463	0.00742873 	92.5724 	92.647 
57 	142   	74.1408 	92.647 	2.84217e-14	92.647  	92.647 
58 	133   	69.8797 	92.647 	2.84217e-14	92.647  	92.647 
59 	127   	70.1732 	92.647 	2.84217e-14	92.647  	92.647 
60 	134   	70.1045 	92.647 	2.84217e-14	92.647  	92.647 
61 	148   	69.9189 	92.647 	2.84217e-14	92.647  	92.647 
